"","freq","word1","word2","word3","word4","word5"
"1",2,"a","baby","step","than","a"
"2",2,"a","babysitter","for","an","hour"
"3",2,"a","bachelor's","degree","in","accounting"
"4",3,"a","bachelor","s","degree","in"
"5",2,"a","backhander","between","pekka","rinne's"
"6",2,"a","bad","case","of","the"
"7",2,"a","bad","experience","with","a"
"8",2,"a","bad","way","to","spend"
"9",2,"a","banquet","invite","the","poor"
"10",2,"a","base","salary","of","plus"
"11",2,"a","beacon","of","hope","to"
"12",2,"a","beat","he","said","i"
"13",3,"a","beautiful","day","in","nyc"
"14",6,"a","beautiful","day","in","the"
"15",3,"a","beautiful","day","to","be"
"16",2,"a","beer","without","fuggles","and"
"17",2,"a","before","picture","of","the"
"18",3,"a","behind","the","scenes","look"
"19",2,"a","believer","official","music","video"
"20",2,"a","bemused","smile","on","his"
"21",4,"a","bench","warrant","monday","in"
"22",2,"a","best","of","seven","series"
"23",2,"a","better","chance","of","getting"
"24",3,"a","better","idea","of","what"
"25",3,"a","better","place","to","live"
"26",3,"a","better","quality","of","life"
"27",2,"a","better","sense","of","the"
"28",2,"a","better","understanding","of","how"
"29",2,"a","better","understanding","of","the"
"30",2,"a","better","way","to","celebrate"
"31",2,"a","bi","weekly","rapid","payment"
"32",2,"a","big","bag","full","of"
"33",2,"a","big","challenge","but","we"
"34",3,"a","big","day","for","the"
"35",2,"a","big","day","for","us"
"36",2,"a","big","deal","for","me"
"37",2,"a","big","deal","out","of"
"38",12,"a","big","fan","of","the"
"39",4,"a","big","fan","of","unk"
"40",2,"a","big","fan","of","your"
"41",2,"a","big","fan","of","yours"
"42",3,"a","big","hit","with","the"
"43",2,"a","big","hug","from","me"
"44",2,"a","big","leap","of","faith"
"45",2,"a","big","mac","and","fries"
"46",3,"a","big","man","to","cry"
"47",2,"a","big","part","of","his"
"48",4,"a","big","part","of","my"
"49",2,"a","big","part","of","our"
"50",2,"a","big","part","of","that"
"51",9,"a","big","part","of","the"
"52",2,"a","big","plus","for","me"
"53",2,"a","big","role","in","the"
"54",2,"a","big","shout","out","to"
"55",2,"a","big","smile","on","my"
"56",10,"a","big","thank","you","to"
"57",2,"a","big","welcome","to","our"
"58",2,"a","bigger","man","to","laugh"
"59",2,"a","bike","and","asked","for"
"60",2,"a","bike","but","i","know"
"61",2,"a","bill","passed","by","the"
"62",3,"a","bill","that","would","allow"
"63",2,"a","billion","capital","plan","that"
"64",2,"a","bird","by","my","leave"
"65",2,"a","birdie","putt","that","might"
"66",2,"a","bit","confusing","at","first"
"67",2,"a","bit","i","think","the"
"68",2,"a","bit","late","but","i"
"69",2,"a","bit","more","than","a"
"70",4,"a","bit","of","a","disappointment"
"71",2,"a","bit","of","a","funk"
"72",2,"a","bit","of","a","letdown"
"73",2,"a","bit","of","a","panic"
"74",2,"a","bit","of","a","shock"
"75",2,"a","bit","of","a","slacker"
"76",2,"a","bit","of","a","strange"
"77",3,"a","bit","of","a","surprise"
"78",3,"a","bit","of","a","unk"
"79",2,"a","bit","of","an","oxymoron"
"80",2,"a","bit","of","money","to"
"81",2,"a","bit","of","olive","oil"
"82",2,"a","bit","out","of","place"
"83",2,"a","bit","that","i","was"
"84",3,"a","bit","this","summer","and"
"85",2,"a","bit","towards","the","end"
"86",2,"a","bite","to","eat","at"
"87",2,"a","black","and","white","photo"
"88",3,"a","black","and","white","screen"
"89",2,"a","black","male","in","his"
"90",2,"a","blank","canvas","to","a"
"91",2,"a","blast","and","i","learned"
"92",2,"a","blast","at","the","show"
"93",3,"a","blender","or","food","processor"
"94",2,"a","blessing","or","a","curse"
"95",2,"a","blessing","to","be","able"
"96",3,"a","block","away","from","the"
"97",3,"a","blood","alcohol","level","of"
"98",2,"a","blood","clot","in","the"
"99",2,"a","board","certified","specialist","in"
"100",3,"a","board","member","of","the"
"101",3,"a","boil","in","a","large"
"102",3,"a","boil","lower","the","heat"
"103",5,"a","boil","over","high","heat"
"104",2,"a","boil","turn","the","heat"
"105",5,"a","book","by","its","cover"
"106",2,"a","book","for","kids","who"
"107",2,"a","book","on","how","to"
"108",2,"a","boot","up","his","ass"
"109",2,"a","bottle","of","jim","beam"
"110",2,"a","bottle","of","red","wine"
"111",4,"a","bottle","of","wine","and"
"112",2,"a","box","of","junk","for"
"113",2,"a","box","of","unk","and"
"114",2,"a","boy","and","a","girl"
"115",3,"a","boy","or","a","girl"
"116",2,"a","boyfriend","in","the","said"
"117",2,"a","break","to","go","to"
"118",6,"a","breath","of","fresh","air"
"119",2,"a","bridge","and","get","over"
